text,label,id
Which celebrity did he mention the fact that he had run into?,negative,4954
The window broke from hail stones.,negative,606
Doug removed at the scratches from the tabletop.,negative,2622
He got hit in the face with the tip of a surfboard.,positive,4732
I didn't give Jack this picture of anybody.,negative,1985
Ellen conferred to Helen.,negative,3076
"At Trade, Anson danced extremely frantically",positive,7997
The officer carefully inspected the license.,positive,5711
"Sally made Bill laugh, and then José made.",negative,851
Susan hopes Susan to sleep.,negative,7638
The cat that the dog that the rat bit chased died.,negative,1078
I separated the egg yolk and the egg white.,positive,2893
John whispered that Mary left.,positive,7417
The twig and the branch broke apart.,positive,2323
"I know which book Max read, and which book Oscar hasn't done so.",negative,941
There exists a solution to this problem.,positive,3288
"No student, who wears socks, is a swinger.",negative,1874
I was eating not a peach but an apple,positive,7876
I read three his books.,negative,1000
The lesson got read by a priest.,negative,4734
The books put on the table.,negative,2545
"The more books I ask to whom he will give, the more he reads.",negative,187
Karen asked where for him to put the chairs.,negative,4830
He believed there to be likely that he won the game.,negative,4343
Jason thinks who Medea had poisoned.,negative,8104
They will do come.,negative,4458
"He told Peter that I know a taller man than John, but Peter didn't believe it.",positive,1185
"I will eat a mango, and Gillian will too.",positive,7995
That the defendant had been rude was stoutly denied by his lawyer.,positive,1196
The cat tries to be out of the bag.,positive,4326
Harry says that Sally dislikes himself.,negative,4252
We kicked myself,negative,8039
The jeweller copied the name on the ring.,positive,2332
Jeeves sauntered into the room.,positive,6636
The tornadoes that tear through this county every spring is more than just a nuisance.,negative,3737
I stalked for game in the woods.,negative,2350
Each of these stones has to be cut and polished.,positive,4212
The horse jumped over the fence.,positive,2186
Kiss pigs is my happiest memory,negative,7751
He walked right the wall.,positive,3527
Kim lives in the house Lee sold it to her.,negative,3434
Cynthia lunched peaches.,negative,3116
The roses bloomed.,positive,3272
"What dl,d John fall asleep and Bill wear?",negative,1086
Heather cabled the news to Sara.,positive,3061
Jack eats more caviar than he sleeps.,negative,5339
We respect Mary's desire for becoming famous.,negative,4107
He has a rail pass that's right for you.,positive,3690
"Tom picked, and I washed some turnips, and Suzie will prepare, these grapes.",negative,1306
Jewels sparkled on the crown.,positive,3199
Where did you give the ball?,negative,2024
"They can't do it, can he?",negative,4527
The place which I live at is the place where Route 150 crosses the Hudson River.,negative,1387
They spoil their kids rotten.,positive,3782
It seems to be a fountain in the park.,negative,4318
John couldn't visit Sally.,positive,314
Tom tends for Mary to avoid confrontations.,negative,4051
The rolling stone avoided the river.,positive,568
"John seems fond of ice cream, and Bill seems, too.",negative,4572
Wash me!,positive,3521
"Tom ordered bacon, and Dick ordered lettuce, and I think that Harry ordered tomatoes.",positive,1555
Ellen said to Helen.,negative,3084
The kids have arrived safely.,positive,3742
Ann may spends her vacation in Italy.,negative,4555
Mag Wildwood came to introduce the bartender but I came not to.,positive,888
"The more contented we pretended to be better fed and, the more angry we grew at the doctors.",negative,1755
John wagered a stranger to have been in that haunted house.,negative,820
John made Mary to cook Korean food.,negative,4011
Amanda carried packages to New York.,positive,2696
The teacher who the reporters expected that the principal would fire is a crusty old jerk.,positive,1428
I resigned because Mary hired someone.,positive,365
Mary saw the tall man come from the back.,positive,7204
In price soared oil.,negative,3277
The truck spread salt.,positive,6619
The heavy meal dozed Gloria.,negative,3146
The boy thought she was happy.,positive,7705
Felicia shipped the box off the shelf.,negative,2017
The capital was gathered near by a crowd of people.,negative,4679
Gilgamesh loved Ishtar and Aphrodite did too,positive,8491
The strong winds slowly cleared the clouds from the sky.,positive,2634
There dances a man with an umbrella.,negative,3835
Cheryl stood the shelf with the books.,negative,2552
The pudding which the man who ordered it said would be tasty was a horror show.,negative,1218
I've never seen the one taller man than my father.,negative,5520
The intense cold killed the climbers.,positive,6917
Humans love to eat the old pigs.,positive,7935
John did not leave.,positive,4465
We sleep five people in each room.,positive,2403
John told.,positive,7356
Bill reading Shakespeare and Maureen singing Schubert satisfy me,negative,8198
I borrowed and my sister stole large sums of money from the bank.,positive,7181
What are you studying nowadays?,positive,4512
The beaver built a dam.,positive,6944
What the stone did to the whole wall was hit it.,negative,635
The men were arrested all.,negative,715
I saw you there and who ate what?,negative,1325
I saw these dancers and those musicians smoking something.,positive,5693
To please John is eager.,negative,5004
It may exist a man in the park.,negative,4421
The house is been remodelling.,negative,4387
I believed the claim that Otto was wearing this hat.,positive,1209
Genie intoned the prayer,positive,8306
I sent him something.,positive,1150
I'm sure he speaks to me!,positive,5240
Bill believes that Anna and he are similar.,positive,1964
A friend of mine who was working in Europe and a girl met in Vienna who was from his home town.,negative,1717
He rode out the storm.,positive,5737
It was to finish the homework that John tried.,negative,5081
At 4 p.m. I saw John lecturing to everyone who was near him.,positive,6484
That the sun was out is obvious.,positive,1989
"I know which book Max read, and which book Oscar didn't.",positive,910
John hurt John with John's umbrella when John tried to open it.,negative,7510
The readings of Shakespeare satisfied me,positive,8534
it is the tall man come from the back that Mary saw the tall man come from the back.,negative,7205
The dog barked out of the room.,negative,49
"The contractor will build a house for $ 100,000.",positive,2412
He always might eats deep fried muffins.,negative,6012
Whales have I seen.,negative,8390
Who was the book sent by John.,negative,6849
Tony has a Fiat to yearn for a tall nurse.,negative,1284
"Because John persuaded Sally to, he didn't have to talk to the reporters.",positive,4540
Objection was taken to the length of our skirts.,positive,1405
John destroyed the house.,positive,509
Who did you wonder what kissed?,negative,6192
She speaks too much clearly.,negative,5414
The defendant denied the accusation.,positive,3877
John doesn't eat enough.,positive,5374
There seem three men to be in the garden.,negative,8394
George is having lived in Toledo for thirty years.,negative,4568
Each other's houses proved to the women that they had bad taste.,negative,1070
No candidate can predict how many people will vote for him.,positive,380
Cynthia munched peaches.,negative,3120
Larry hunted all the foxes.,positive,6812
Through the valley ran a rushing stream.,positive,3334
"Pat wanted to go to Berne, and Chris going to Rome.",negative,7105
John asks which book by his father he read.,positive,4801
John is prouder of having gone than John expected me not to believe he would be.,negative,1542
He should decide soon.,positive,7516
Experts all agree that dreams cause great anxiety and stress are called nightmares.,positive,4976
"Tom picked these grapes, and I washed these grapes, and Suzie will prepare these grapes.",positive,1304
The gun and a description of itself lay on the bureau.,negative,1963
Ellen told a story at Helen.,negative,3048
Augusta blamed herself for what happened.,positive,6819
I wonder who it was you saw.,positive,5146
Cora coiled at the rope around the post.,negative,2585
The computer will calculate the value of the variable.,positive,6701
I said this he left,negative,8349
Write a letter to Anne Elliott.,positive,6750
Accountants audit our finances every year.,positive,6615
The hospital was donated the book to.,negative,7729
I introduced her to he.,negative,8272
We proclaimed to the public John to be a hero.,negative,745
Every student who ever goes to Europe ever has enough money.,negative,1942
Merlin is extremely evil.,positive,8135
Rarely is any lion majestic.,positive,6373
Megan loves.,negative,5900
"He seems to become more corrupt, the more lobbyists every senator talks to.",negative,279
The students all worked that summer.,positive,3859
"Fluffy is sick, which that no one here realizes is certain.",negative,1662
The music echoed.,positive,3313
He are the only person that I can rely on.,negative,4147
We yelled Harry hoarse.,negative,23
"He had hardly collected the papers on his desk, hadn't he?",negative,4588
The old dog died partway.,negative,2111
Sharon flinched at the sight of the accident.,positive,3149
Mary talked to any man or any woman.,negative,6398
One people was dying of thirst.,negative,4174
Give the baby the bottle awake.,negative,641
To go abroad would be nice.,positive,788
The book to whom did you give.,negative,5288
Who did you arrange for to come?,negative,6537
"That John passed surprised her, didn't it?",positive,3806
Mary wonders that John said if Bill left.,negative,7471
John is eager to examine.,negative,5023
I believe it to be the switch that is defective.,positive,5166
This arch is supporting the weight of the tower.,positive,6915
Humans love to eat owners.,positive,8527
They heard John's criticism of each other.,negative,7545
Who did Mary see walking toward the railroad station?,positive,1087
How he is brave!,positive,1631
My nephew could write letters the postcards to his parents.,negative,7295
Jason intended for he to learn magic.,negative,8016
I talked to Winston about Winston.,negative,1528
David constructed the mansion from bricks into a house.,negative,2949
"Every student, who wears socks, is a swinger.",negative,1875
Gilgamesh hasn't kissed Ishtar.,positive,8544
Joe hoped for Beth to find a solution.,negative,4053
I saw all the students.,positive,7380
Monica covered a blanket over the baby.,negative,2133
The time bomb had a snake behind the car which it was sitting in.,negative,1909
The tree broke off some branches.,negative,594
"John is more embarrassed, the more pictures of himself that appear in the news.",positive,262
Sarah sang a song.,positive,2472
Stephen believed there to be a fountain in the park.,positive,4298
Fond of some boy every girl is.,positive,1016
The hat which I believed that Otto was wearing is red.,positive,1212
Both of the workers will wear carnations.,positive,4222
I liked Mary.,positive,7340
I deny that it is certain that Bob has any money.,positive,1968
A fragrant stew bubbled over the fire.,positive,3222
Whose poem about Achilles did Homer persuade Jason that he should read?,positive,7781
John is happy about the outcome.,positive,4433
The vase was smashed deliberately.,positive,6966
There are only one chemical substance involved in nerve transmission.,negative,4351
Jake threw the ball all the way to Bill.,positive,2034
Bill alleged that Roger has eaten the cake.,positive,1928
"The more pictures of himself appear in the news, the more likely John is to get arrested.",negative,254
Willy is taller than Bill by as much as Joe is taller than the Dan.,positive,1779
To the washroom kissed the Blarney stone.,negative,5648
Brian wiped the counter of fingerprints.,negative,2639
I can well imagine with a hatchet Mary destroying the Jeep.,negative,152
The Romans destroyed the city into ruins.,negative,3227
I went to the movies to not pick the shirts up.,negative,1286
I visited every town in every country I had to.,negative,898
I explained to fix the sink.,negative,435
A plan to negotiate an honorable end to the war in Vietnam was gotten wind of.,positive,1406
The horse jumped across the stream.,positive,3379
A ship appeared.,positive,3338
Jason whispered that the phoenix had escaped,positive,7746
It disturbed him that people didn't like Fred.,positive,5277
I wonder if he eats asparagus.,positive,5844
The horse groomed itself.,negative,3174
He did not leave.,positive,3574
I'm glad I saw anybody.,negative,5235
Kim put the book.,negative,3984
To behave oneself in public is expected.,positive,6263
Can you find the light bulb store?,positive,6209
John often kisses Mary.,positive,353
Any more reliable a man could not be found.,negative,5452
Jennifer craned her arm.,negative,2530
Which book he read the book was that one.,negative,5125
Emily showed himself to Benjamin in the mirror.,negative,7944
Bill dried at the clothes.,negative,3265
The socks are ready for you to put on.,positive,1799
Bill will put a picture of she on your desk before tomorrow.,negative,7136
I walk.,positive,6113
Traci gave the whale.,negative,5875
What this arch does is support the weight of the tower.,positive,6914
They kicked himself,negative,7731
The stone knocked against the pole into the road.,negative,603
He washed myself.,negative,3514
They can run.,positive,3536
Maxwell isn't half the doctor that polished off the vodka.,negative,1695
They are afraid people.,negative,4194
He will can go,positive,8178
Brenda and Molly haggled.,positive,3032
Who did he believe the claim that he had never met?,negative,4953
The White Rabbit vanished his watch.,negative,6626
It is a wooden desk.,positive,4191
The CDs were given to the boys by John.,positive,3767
"It is unreadable, guaranteed to give a headache to anyone who looks hard at the small print.",positive,2127
I sent the bicycle from my house at the beach to my house in the mountains.,positive,2004
It is Kim whom Sandy relies.,negative,5141
We persuaded the dentist to examine us.,positive,4367
Julie maintained if the barman was sober.,negative,7977
Jorge was the one.,positive,5983
What did John wonder who would win?,negative,4970
Marianne not left.,negative,334
She was sent a review copy of the book by the publisher.,positive,3762
the paper to finish by tomorrow is too long.,negative,4887
The book brought to the meeting.,negative,2687
"Sally will stand near Mag, but he won't Holly.",negative,920
The man who I gave John this picture of was bald.,negative,1980
We think if Bill left.,negative,7501
"Climb to the top, they do climb to the top.",negative,7282
The boys were made a good mother.,negative,735
I told Daniel the story.,positive,5676
"They can't stand each other, they.",negative,1846
She has problem enough as it is.,negative,5387
John suddenly got the bus off.,negative,3682
The man who I read a statement about is sick.,positive,1191
Aphrodite stinks to be omnipotent.,negative,8196
I have eaten the beef waffles.,positive,5968
"His analysis, I never liked.",positive,8081
Carrie touched the stick into the cat.,negative,2842
"Always, any lion is majestic.",negative,6378
He bought these flowers for Aaron.,positive,5894
I know a man who Bill saw and liked Mary.,negative,6562
"John asked me to put the clothes in the cupboard, but I did so put the clothes in the suitcase.",negative,3637
I went to the movies not to pick the shirts up.,negative,1285
The stodgy professor left with his teaching assistant.,positive,5914
Because of the strike the commuters travelled by army lorry.,positive,6742
John kicked him.,positive,4663
Some gifts get used a dozen or so times a year.,positive,6971
John does not like Mary.,positive,959
The swindler cheated Pat of her fortune.,positive,2661
Willy is taller than Bill by as much as everybody seems to expect me to admit to having publicly proclaimed that I believed.,positive,1781
Aphrodite did free animals,positive,7928
The UN recommended an enlarged peacekeeping force.,positive,4768
The accident happened.,positive,3356
He does can leave here.,negative,4469
There is arriving three men at that station.,negative,813
"China is a country that Joe wants to visit, and he will too, if he gets enough money.",positive,939
The hardest that I believe that it ever snowed was last January 12th.,positive,1709
I see.,positive,7339
It is to the best students that he gives this book.,positive,6855
For Maurice to quarrel with Joel frightened Maggie.,positive,5866
Near Strasbourg my brother lives.,positive,6885
Confiscate any of this liquor.,negative,6451
the person stand on my foot is heavy.,negative,4888
Chris must liking syntax.,positive,3504
The monkeys seem eager to leave the meeting.,positive,3659
The squirrel ran straight quickly.,negative,3669
Tony broke the window.,positive,3235
"Pat wanted to try to go to Berne, and Chris to go to Rome. to Rome.",positive,7088
"The lady singing with a boy is a genius, isn't she?",negative,3739
Bill is likely John to hit.,negative,6107
Kiss himself.,negative,5573
"John asked me to put the clothes in the cupboard, and to annoy him I stuffed them there.",positive,3636
Donna fixed last night's leftovers into a sandwich.,negative,2941
"I don't think Fred will, either.",positive,844
Doug removed the scratches out of the drawer.,negative,2619
"Stories about him seem to show up more on the evening news, the more that John gets upset by them.",positive,263
He said he would leave and now he's done it.,positive,1609
At Mrs. Parker's lodged an old woman.,negative,3282
Any lion is rare.,negative,6423
Mary considers John proud of her.,positive,7592
Michael asked a question.,positive,5921
What I arranged for Jenny was to be present.,negative,7791
Mike will sing if you will sing.,positive,1561
I've never seen you eat asparagus.,positive,5836
This needs mending.,positive,4861
much armchair is needed.,negative,3464
John is ready for you to inspect his bunk.,positive,1805
The two boys looked up the high stairs from the floor.,positive,3592
John seems that it is likely to win.,negative,396
Fido is the smarter dog than Spot.,negative,5473
The children were in their rooms or happily.,negative,3679
I lent the book all the way to Tony.,negative,2102
Mr Woodhouse sat in an armchair.,positive,6693
The gardener planted roses in the garden.,positive,6925
He's the happiest that we ever talked to the boy who had seen him.,negative,1706
Rory is eating muffins.,positive,6070
My red is refrigerator.,negative,5614
It is in the library.,positive,7396
John met Mary in Vienna.,positive,1952
"It is the folks up at corporate headquarters who the sooner you solve this problem, the more easily you'll satisfy.",negative,293
There ran many people.,negative,7615
He's enough of a fool to try it.,positive,5395
"It is important for the more you eat, the more careful you to be.",negative,148
Her efficient looking up of the answer pleased the boss.,positive,1456
Jean persuaded Brian to leave.,positive,6236
Bill made Sarah's gal to me of $40.,negative,1247
Medea tried to poison her children.,positive,7951
"Tom ordered bacon, and Dick ordered lettuce, and Harry ordered tomatoes.",positive,1550
The jeweller copied the ring with the name.,negative,2333
This building got than that one.,negative,62
"I'm sad, as much as I'm angry.",positive,5542
The news was dealt with carefully.,positive,4709
"Bill seems to be obnoxious, but I don't think that Sam happens.",negative,493
Dorothy is needing new shoes.,negative,3005
He might do leave.,negative,4468
The thief stole Mr. Smith the painting.,negative,2656
The students know the answers.,positive,3995
Dante accused,negative,7752
Which poem did you hear those recitals of last night?,negative,7857
Cynthia nibbled the carrot .,positive,3102
The elevator rumbled itself to the ground.,negative,83
I prefer for the girl to will win.,negative,7257
The student is belonged to by this item.,negative,3757
"You eat the more, the more you want.",negative,242
The witch poisoned Snow White.,positive,3196
"Sandy must have been, too.",positive,4537
Kim regrets never having seen the movie.,positive,4486
The sun bloomed the roses.,negative,3273
Maggie hurried her sister.,positive,3408
They praised them as volunteers.,positive,3016
To him presented itself a wonderful opportunity.,negative,3345
I wondered who it was you saw.,positive,5160
It's probable in general that he understands what's going on.,negative,430
I forwarded Winifred the letter.,negative,6840
The kennel in which Mary keeps drugs and Fido sleeps has been stolen.,positive,6555
Aphrodite quickly may free the animals,negative,8049
She was the nicest teacher in the Senior School.,positive,3841
The video which I thought John told us you recommended was really terrific.,positive,4871
She fell in love.,positive,2065
Hei is easy to please i.,positive,5025
Which book and which pencil did John buy?,positive,6567
Here's the whisky which I went to the store and Mike bought.,positive,1277
John had an error in the proof Sarah presented.,negative,1902
few clues could be found.,positive,3485
You shouldn't play with rifles because to is dangerous.,negative,857
He attributed to a short circuit the fire.,negative,1114
"If he is a rich man, he'd buy a diamond ring.",negative,6060
Any student in Mary's class happened to vote.,negative,6409
Mary wonders for Bill to come.,negative,7448
"Handsome though I believe the claim that Tom is, I still won't date him.",negative,5315
Into which room did Jeeves sauntered?,positive,6640
David constructed a house.,positive,2944
The river was avoided by the rolling stone.,positive,569
This key won't open.,negative,2233
This nice cake was baked for me by my mother.,positive,3769
That the golden thread would show Jason his path through the labyrinth was,positive,8345
"While Rusty might leave in order to please Mag, he won't his father.",negative,933
He's fool.,negative,5433
Fabio asked had if Claus run a marathon.,negative,5850
Chris will become talking to colleagues.,negative,7017
"The more contented the nurses began to believe that we were going to pretend to be, the more angry we grew at the doctors.",negative,1754
My niece could write me you letters.,negative,7294
Ad agencies call young people Generation X-ers.,positive,3954
Mary is taller than six feet.,positive,5344
I gave the package to London.,negative,2028
